SYMBOL,INTERVAL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HDFC.NS,D,8/20/1996 12:00:00 AM,2.585,2.645,2.58045,2.624,2639999.882
HDFC.NS,D,8/21/1996 12:00:00 AM,2.63,2.65,2.63,2.6489,1319999.941
HDFC.NS,D,8/22/1996 12:00:00 AM,2.665,2.717,2.654,2.6821,1719999.923
HDFC.NS,D,8/23/1996 12:00:00 AM,2.68,2.69695,2.67305,2.6962,849999.962
HDFC.NS,D,8/26/1996 12:00:00 AM,2.7,2.7149,2.686,2.693,1019999.954
HDFC.NS,D,8/27/1996 12:00:00 AM,2.691,2.725,2.69,2.7172,1049999.953
HDFC.NS,D,8/28/1996 12:00:00 AM,2.749,2.749,2.7015,2.717,359999.9839
HDFC.NS,D,8/29/1996 12:00:00 AM,2.727,2.765,2.721,2.72255,10599999.53
HDFC.NS,D,8/30/1996 12:00:00 AM,2.725,2.755,2.71405,2.74015,2829999.873
HDFC.NS,D,9/2/1996 00:00:00,2.735,2.754,2.725,2.725,599999.9732
HDFC.NS,D,9/3/1996 00:00:00,2.723,2.734,2.626,2.65275,1339999.94
HDFC.NS,D,9/4/1996 00:00:00,2.56105,2.7,2.56105,2.6954,1609999.928
HDFC.NS,D,9/5/1996 00:00:00,2.7,2.72,2.696,2.70865,2179999.903
HDFC.NS,D,9/6/1996 00:00:00,2.705,2.711,2.692,2.7051,809999.9638
HDFC.NS,D,9/9/1996 00:00:00,2.748,2.748,2.69125,2.6952,909999.9593
HDFC.NS,D,9/10/1996 00:00:00,2.65,2.68,2.625,2.67275,1449999.935
HDFC.NS,D,9/11/1996 00:00:00,2.655,2.655,2.621,2.63175,389999.9826
HDFC.NS,D,9/12/1996 00:00:00,2.6,2.62,2.585,2.59945,669999.97
HDFC.NS,D,9/13/1996 12:00:00 AM,2.595,2.65,2.551,2.5591,4639999.793
HDFC.NS,D,9/16/1996 12:00:00 AM,2.50005,2.515,2.497,2.49715,369999.9835
HDFC.NS,D,9/17/1996 12:00:00 AM,2.497,2.55,2.38,2.40705,10269999.54
HDFC.NS,D,9/18/1996 12:00:00 AM,2.39,2.50105,2.382,2.48155,2809999.874
HDFC.NS,D,9/19/1996 12:00:00 AM,2.488,2.5,2.47,2.4736,769999.9656
HDFC.NS,D,9/20/1996 12:00:00 AM,2.465,2.525,2.43,2.51675,2899999.87
HDFC.NS,D,9/23/1996 12:00:00 AM,2.425,2.525,2.391,2.52435,20749999.07
HDFC.NS,D,9/24/1996 12:00:00 AM,2.4,2.475,2.3982,2.3986,9759999.564
HDFC.NS,D,9/25/1996 12:00:00 AM,2.425,2.45,2.424,2.43375,1289999.942
HDFC.NS,D,9/26/1996 12:00:00 AM,2.425,2.425,2.4041,2.41185,689999.9692
HDFC.NS,D,9/27/1996 12:00:00 AM,2.4,2.475,2.35,2.4734,9709999.566
HDFC.NS,D,9/30/1996 12:00:00 AM,2.35,2.35,2.34975,2.34975,149999.9933
HDFC.NS,D,10/1/1996 00:00:00,2.315,2.35,2.235,2.2963,2009999.91
HDFC.NS,D,10/3/1996 00:00:00,2.25,2.32,2.25,2.2855,1899999.915
HDFC.NS,D,10/4/1996 00:00:00,2.276,2.281,2.255,2.2578,1049999.953
HDFC.NS,D,10/7/1996 00:00:00,2.26,2.26,2.14495,2.14495,1039999.954
HDFC.NS,D,10/8/1996 00:00:00,2.04,2.1,2.0377,2.0377,1439999.936
HDFC.NS,D,10/9/1996 00:00:00,1.975,2,1.95,1.98475,2199999.902
HDFC.NS,D,10/10/1996 00:00:00,1.999,2.084,1.999,2.084,1489999.933
HDFC.NS,D,10/11/1996 00:00:00,2.15,2.1882,2.13,2.1882,1859999.917
HDFC.NS,D,10/14/1996 12:00:00 AM,2.2,2.2,2.115,2.1295,1529999.932
HDFC.NS,D,10/15/1996 12:00:00 AM,2.15,2.19645,2.117,2.16695,2049999.908
HDFC.NS,D,10/16/1996 12:00:00 AM,2.24,2.275,2.206,2.2257,2139999.904
HDFC.NS,D,10/17/1996 12:00:00 AM,2.214,2.225,2.15725,2.19,1889999.916
HDFC.NS,D,10/18/1996 12:00:00 AM,2.185,2.197,2.181,2.1878,599999.9732
HDFC.NS,D,10/22/1996 12:00:00 AM,2.239,2.245,2.205,2.21645,1559999.93
HDFC.NS,D,10/23/1996 12:00:00 AM,2.25,2.294,2.25,2.28165,1269999.943
HDFC.NS,D,10/24/1996 12:00:00 AM,2.285,2.305,2.26,2.30015,1659999.926
HDFC.NS,D,10/25/1996 12:00:00 AM,2.28,2.4,2.28,2.3802,2869999.872
